Episode,AvgReward,EstLoss,Q1,Q2,R1,R2,EvalReward
10,-1327.78,nan,0.0183,0.0183,0.1353,0.1353,
20,-1249.79,1.9280,0.0075,0.3666,0.038,0.0978,-1175.64
30,-1296.03,1.5416,0.0058,0.9437,0.0145,0.0129,
40,-1421.94,1.5117,0.0066,1.4707,0.0066,0.0059,
50,-1241.58,1.4891,0.0096,1.6512,0.0039,0.0041,-1336.86
60,-1448.5,1.4884,0.0103,1.463,0.003,0.0033,
70,-1358.79,1.2892,0.0059,0.8133,0.0019,0.0022,-1272.19
80,-1412.9,1.3330,0.0013,0.0755,0.0006,0.0007,
90,-1265.45,1.2512,0.0004,0.0031,0.0002,0.0003,
100,-1215.11,1.1769,0.0002,0.0007,0.0002,0.0002,-1245.71
110,-1227.2,1.2487,0.0001,0.0003,0.0002,0.0002,
120,-1502.2,1.2923,0.0001,0.0002,0.0002,0.0002,-1358.3
130,-1347.27,1.1514,0.0,0.0001,0.0002,0.0002,
140,-1376.33,1.1998,0.0,0.0001,0.0002,0.0002,
150,-1443.93,1.2210,0.0,0.0,0.0002,0.0002,-1251.55
160,-1374.4,1.1271,0.0,0.0,0.0002,0.0002,
170,-1217.49,1.2235,0.0,0.0,0.0002,0.0002,-1387.84
180,-1193.67,1.1812,0.0,0.0,0.0002,0.0002,
190,-1186.3,1.1294,0.0,0.0,0.0002,0.0002,
200,-1247.43,1.1636,0.0,0.0,0.0002,0.0002,-1314.4
210,-1333.18,1.2264,0.0,0.0,0.0002,0.0002,
220,-1320.62,1.2336,0.0,0.0,0.0002,0.0002,-1361.63
230,-1397.47,1.1270,0.0,0.0,0.0002,0.0002,
240,-1569.73,1.3555,0.0,0.0,0.0002,0.0002,
250,-1420.95,1.2298,0.0,0.0,0.0002,0.0002,-1453.16
260,-1363.77,1.2777,0.0,0.0,0.0002,0.0002,
270,-1580.82,1.2070,0.0,0.0,0.0002,0.0002,-1493.53
280,-1484.96,1.0791,0.0,0.0,0.0002,0.0002,
290,-1268.91,1.0979,0.0,0.0,0.0002,0.0003,
300,-972.99,1.0980,0.0,0.0,0.0002,0.0002,-1184.12
310,-864.81,1.1534,0.0,0.0,0.0002,0.0002,
320,-976.32,1.2403,0.0,0.0,0.0002,0.0002,-773.25
330,-765.16,1.2391,0.0,0.0,0.0002,0.0002,
340,-782.71,1.3814,0.0,0.0,0.0002,0.0002,
350,-715.8,1.1140,0.0,0.0,0.0002,0.0002,-637.22
360,-638.9,1.2329,0.0,0.0,0.0002,0.0002,
370,-678.31,1.3183,0.0,0.0,0.0002,0.0002,-765.8
380,-647.76,1.1169,0.0,0.0,0.0002,0.0002,
390,-743.89,1.3197,0.0,0.0,0.0002,0.0002,
400,-664.47,1.1349,0.0,0.0,0.0002,0.0002,-634.85
410,-713.64,1.3489,0.0,0.0,0.0002,0.0002,
420,-772.15,1.1683,0.0,0.0,0.0002,0.0002,-769.76
430,-750.14,1.0767,0.0,0.0,0.0002,0.0002,
440,-704.08,1.1473,0.0,0.0,0.0002,0.0002,
450,-771.21,1.2491,0.0,0.0,0.0002,0.0002,-721.99
460,-705.15,1.1631,0.0,0.0,0.0002,0.0002,
470,-716.35,1.0854,0.0,0.0,0.0002,0.0002,-753.43
480,-760.28,1.1664,0.0,0.0,0.0002,0.0002,
490,-767.88,1.2911,0.0,0.0,0.0002,0.0002,
500,-699.47,1.2246,0.0,0.0,0.0002,0.0002,-733.04
