Episode,AvgReward,Q1,Q2,R1,R2,EvalReward
10,-1280.03,0.0183,0.0183,0.1353,0.1353,
20,-1225.15,0.0183,0.0183,0.1353,0.1353,-1294.79
30,-1198.17,0.0183,0.0183,0.1353,0.1353,
40,-1117.49,0.0183,0.0183,0.1353,0.1353,
50,-1224.89,0.0183,0.0183,0.1353,0.1353,-1116.73
60,-1085.1,0.0183,0.0183,0.1353,0.1353,
70,-1156.79,0.0183,0.0183,0.1353,0.1353,-1149.65
80,-1229.24,0.0183,0.0183,0.1353,0.1353,
90,-1279.98,0.0183,0.0183,0.1353,0.1353,
100,-1214.91,0.0183,0.0183,0.1353,0.1353,-1237.3
110,-1161.32,0.0183,0.0183,0.1353,0.1353,
120,-1274.74,0.0183,0.0183,0.1353,0.1353,-1118.34
130,-1358.44,0.0183,0.0183,0.1353,0.1353,
140,-1302.69,0.0183,0.0183,0.1353,0.1353,
150,-1290.16,0.0183,0.0183,0.1353,0.1353,-1288.91
160,-1319.49,0.0183,0.0183,0.1353,0.1353,
170,-1215.35,0.0183,0.0183,0.1353,0.1353,-1298.22
180,-1104.8,0.0183,0.0183,0.1353,0.1353,
190,-1243.33,0.0183,0.0183,0.1353,0.1353,
200,-1218.88,0.0183,0.0183,0.1353,0.1353,-1203.57
210,-1275.03,0.0183,0.0183,0.1353,0.1353,
220,-1260.3,0.0183,0.0183,0.1353,0.1353,-1224.64
230,-1264.82,0.0183,0.0183,0.1353,0.1353,
240,-1249.69,0.0183,0.0183,0.1353,0.1353,
250,-1111.71,0.0183,0.0183,0.1353,0.1353,-1206.57
260,-1341.36,0.0238,0.0202,0.1036,0.1297,
270,-1283.2,0.0331,0.1722,0.0914,0.2479,-1203.27
280,-1384.05,0.0178,0.3131,0.0524,0.2468,
290,-1216.82,0.0113,0.2493,0.0365,0.2449,
300,-1290.56,0.0083,0.2351,0.0249,0.2232,-1289.34
310,-1139.11,0.0071,0.2808,0.0169,0.1873,
320,-1117.4,0.0079,0.3356,0.0136,0.1581,-1019.01
330,-1109.29,0.0079,0.3278,0.0101,0.1352,
340,-1038.14,0.0073,0.3122,0.0074,0.119,
350,-1094.86,0.0078,0.2729,0.0054,0.1054,-1065.24
360,-1131.62,0.0092,0.2585,0.0043,0.1054,
370,-1071.3,0.0124,0.247,0.0037,0.126,-1179.7
380,-1189.77,0.0191,0.2784,0.0034,0.1324,
390,-1144.39,0.022,0.3567,0.004,0.1132,
400,-996.02,0.0163,0.4661,0.004,0.1327,-1130.46
410,-1480.93,0.0126,0.3735,0.004,0.1395,
420,-1615.89,0.011,0.3891,0.0037,0.1651,-1299.21
430,-1181.26,0.0106,0.5132,0.0035,0.1825,
440,-1556.81,0.0126,0.5705,0.0035,0.172,
450,-1153.7,0.0174,0.7189,0.0034,0.1796,-1334.27
460,-1425.16,0.0235,0.9718,0.0032,0.1965,
470,-1281.08,0.0194,0.9066,0.0031,0.1986,-1417.02
480,-1433.94,0.0169,0.6427,0.0031,0.1955,
490,-1335.76,0.0155,0.5651,0.003,0.199,
500,-1185.39,0.0154,0.6139,0.0027,0.226,-1051.07
