Episode,AvgReward,Q1,Q2,R1,R2,EvalReward
10,-1266.22,0.0183,0.0183,0.1353,0.1353,
20,-1234.28,0.0183,0.0183,0.1353,0.1353,-1187.01
30,-1138.07,0.0183,0.0183,0.1353,0.1353,
40,-1105.37,0.0183,0.0183,0.1353,0.1353,
50,-1181.68,0.0183,0.0183,0.1353,0.1353,-1195.8
60,-1446.18,0.0183,0.0183,0.1353,0.1353,
70,-1375.85,0.0183,0.0183,0.1353,0.1353,-1220.22
80,-1314.34,0.0183,0.0183,0.1353,0.1353,
90,-1493.97,0.0183,0.0183,0.1353,0.1353,
100,-1373.02,0.0183,0.0183,0.1353,0.1353,-1410.46
110,-1276.73,0.0183,0.0183,0.1353,0.1353,
120,-1214.88,0.0183,0.0183,0.1353,0.1353,-1320.33
130,-1032.0,0.0183,0.0183,0.1353,0.1353,
140,-1222.83,0.0183,0.0183,0.1353,0.1353,
150,-1337.9,0.0183,0.0183,0.1353,0.1353,-1213.72
160,-1335.66,0.0183,0.0183,0.1353,0.1353,
170,-1300.44,0.0183,0.0183,0.1353,0.1353,-1283.35
180,-1277.48,0.0183,0.0183,0.1353,0.1353,
190,-1204.0,0.0183,0.0183,0.1353,0.1353,
200,-1078.0,0.0183,0.0183,0.1353,0.1353,-1279.95
210,-1341.7,0.0183,0.0183,0.1353,0.1353,
220,-1347.27,0.0183,0.0183,0.1353,0.1353,-1349.15
230,-1316.12,0.0183,0.0183,0.1353,0.1353,
240,-1289.23,0.0183,0.0183,0.1353,0.1353,
250,-1198.62,0.0183,0.0183,0.1353,0.1353,-1261.17
260,-1418.76,0.0214,0.0228,0.1071,0.162,
270,-1160.16,0.0306,0.1666,0.0979,0.3062,-1450.88
280,-1516.71,0.0129,0.4513,0.0476,0.2026,
290,-1306.07,0.0059,0.5871,0.0219,0.1201,
300,-1323.69,0.0032,0.7593,0.011,0.0577,-1407.81
310,-1426.05,0.002,0.8997,0.0068,0.0544,
320,-1212.99,0.0019,1.757,0.0057,0.0446,-771.81
330,-1032.54,0.0015,2.152,0.0079,0.0076,
340,-1090.03,0.0013,2.4019,0.013,0.005,
350,-872.58,0.0013,2.6171,0.0101,0.0068,-793.64
360,-794.15,0.0013,2.5562,0.0126,0.0074,
370,-361.8,0.001,2.2845,0.0152,0.0161,-239.87
380,-288.35,0.001,2.6586,0.012,0.0927,
390,-316.12,0.0013,3.4023,0.0107,0.1171,
400,-189.0,0.0023,5.4668,0.0111,0.1093,-141.69
410,-233.21,0.0039,8.4828,0.0113,0.0951,
420,-358.36,0.0052,11.0167,0.0112,0.0398,-191.1
430,-112.45,0.0037,8.1911,0.0065,0.039,
440,-209.9,0.003,5.809,0.0043,0.0094,
450,-325.84,0.0019,3.8212,0.0028,0.0087,-211.77
460,-199.38,0.0015,2.7113,0.0015,0.0113,
470,-235.64,0.0016,2.6116,0.0013,0.0086,-190.59
480,-168.03,0.0021,3.668,0.0011,0.0089,
490,-212.4,0.002,4.6989,0.0009,0.0124,
500,-99.04,0.0021,5.6445,0.0014,0.0108,-172.3
