Episode,AvgReward,EstLoss,Q1,Q2,R1,R2,EvalReward
10,-1205.88,nan,0.0183,0.0183,0.1353,0.1353,
20,-1403.1,nan,0.0183,0.0183,0.1353,0.1353,-1343.86
30,-1356.07,nan,0.0183,0.0183,0.1353,0.1353,
40,-1309.21,nan,0.0183,0.0183,0.1353,0.1353,
50,-1373.34,nan,0.0183,0.0183,0.1353,0.1353,-1417.31
60,-1324.19,nan,0.0183,0.0183,0.1353,0.1353,
70,-1329.05,nan,0.0183,0.0183,0.1353,0.1353,-1306.04
80,-1392.93,nan,0.0183,0.0183,0.1353,0.1353,
90,-1488.02,nan,0.0183,0.0183,0.1353,0.1353,
100,-1309.0,nan,0.0183,0.0183,0.1353,0.1353,-1406.91
110,-1462.63,nan,0.0183,0.0183,0.1353,0.1353,
120,-1446.27,nan,0.0183,0.0183,0.1353,0.1353,-1447.23
130,-1378.99,nan,0.0183,0.0183,0.1353,0.1353,
140,-1279.53,nan,0.0183,0.0183,0.1353,0.1353,
150,-1358.86,nan,0.0183,0.0183,0.1353,0.1353,-1413.09
160,-1335.99,nan,0.0183,0.0183,0.1353,0.1353,
170,-1489.11,nan,0.0183,0.0183,0.1353,0.1353,-1426.2
180,-1367.34,nan,0.0183,0.0183,0.1353,0.1353,
190,-1280.74,nan,0.0183,0.0183,0.1353,0.1353,
200,-1386.78,nan,0.0183,0.0183,0.1353,0.1353,-1342.86
210,-1357.65,nan,0.0183,0.0183,0.1353,0.1353,
220,-1404.1,nan,0.0183,0.0183,0.1353,0.1353,-1425.94
230,-1364.36,nan,0.0183,0.0183,0.1353,0.1353,
240,-1299.8,nan,0.0183,0.0183,0.1353,0.1353,
250,-1329.6,nan,0.0183,0.0183,0.1353,0.1353,-1298.84
260,-1417.64,4.2560,0.0119,0.0873,0.0825,0.1121,
270,-1531.88,2.8935,0.0071,0.6423,0.0222,0.0789,-1132.37
280,-1371.86,2.2949,0.0055,1.4171,0.009,0.0246,
290,-1155.92,2.0115,0.0046,2.5516,0.004,0.0038,
300,-960.35,2.0825,0.0047,3.9113,0.0021,0.0022,-856.62
310,-740.87,1.9424,0.0082,5.7504,0.0013,0.0017,
320,-788.65,2.0281,0.0158,9.9931,0.0008,0.0014,-1192.38
330,-1175.64,1.9783,0.0371,27.5131,0.0006,0.0011,
340,-1368.51,1.9985,0.1321,126.6942,0.0004,0.0009,
350,-1444.99,2.0040,0.4238,517.5039,0.0004,0.0008,-1445.03
360,-1362.94,2.0275,0.7631,1424.9735,0.0004,0.0008,
370,-1376.42,1.9366,0.9579,2835.0171,0.0004,0.0008,-1387.87
380,-1373.8,1.8994,1.0275,4389.3394,0.0004,0.0008,
390,-1381.52,1.9628,1.0404,5467.1426,0.0003,0.0008,
400,-1386.38,1.9724,1.0393,5486.4849,0.0003,0.0008,-1468.01
410,-1420.43,1.8237,1.0307,5110.0972,0.0003,0.0008,
420,-1526.02,1.8599,1.0288,4792.8765,0.0003,0.0007,-1461.77
430,-1383.12,1.8286,1.0251,4367.1797,0.0003,0.0007,
440,-1418.16,1.8153,1.0161,4111.5557,0.0003,0.0007,
450,-1470.6,1.8212,1.014,3741.8857,0.0003,0.0007,-1492.4
460,-1490.59,1.7995,1.0115,3433.6506,0.0003,0.0007,
470,-1449.51,1.9488,1.0106,3181.489,0.0003,0.0007,-1509.61
480,-1328.29,1.7159,1.012,2809.6084,0.0003,0.0007,
490,-1487.38,1.8778,1.0082,2497.8589,0.0003,0.0007,
500,-1433.56,1.8785,1.0076,2231.4812,0.0003,0.0007,-1393.71
